id,name,sex,age,staffel,fans,type,typisierung,sender
pfei,13 Pfeile,99,99,99,99,0,10,99
rec,1773 Records,99,99,99,99,0,9,99
mus,313 music,99,99,99,99,0,8,99
musi,7 Music,99,99,99,99,0,12,99
AB,Ardian Bujupi,1,2,8,5,1,3,99
AE,Annemarie Eilfeld,2,2,6,3,1,3,99
AG,Antonio Gerardi,1,4,12,4,1,3,99
AJ,Alexander Jahnke,1,3,14,3,1,2,99
AK,Alexander Klaws,1,3,1,3,1,1,99
aku,Akustisch,99,99,99,99,0,10,99
afc,Alarm fuer Cobra 11,99,99,99,99,0,6,1
alca,Alcatel Fanpreis,99,99,99,99,0,13,99
audl,Anna und die Liebe,99,99,99,1,0,6,2
aac,Antenne AC,99,99,99,99,0,11,99
ardi,Ardicted,99,99,99,99,0,10,99
artis,Artistadvice,99,99,99,99,0,14,99
AS,Aneta Sablik,2,2,11,5,1,1,99
aca,Austrian Country Award,99,99,99,99,0,15,99
AW,Alphonso Williams,1,5,14,3,1,1,99
bdb,Barfuß durch Berlin,99,99,99,99,0,10,99
bss,Bayerischer Sportpreis,99,99,99,99,0,15,99
BE,Beatrice Egli,2,2,10,5,1,1,99
bj,Besser jetzt,99,99,99,99,0,10,99
bomg,Best of Musical Gala,99,99,99,99,0,7,3
bub,Bettina und Bommer,99,99,99,99,0,5,99
bs,Bewaehrungsstrafe,99,99,99,99,0,15,99
bigb,Big Brother,99,99,99,5,0,5,1
bhuvw,Bis hierher und viel weiter,99,99,99,99,0,10,99
bis,Bisou,99,99,99,1,1,15,99
bfr,Black feather records,99,99,99,99,0,9,99
brot,Bravo Otto,99,99,99,99,0,15,99
bth,Bravo the Hits,99,99,99,99,0,5,99
breath,Breathing,99,99,99,99,0,10,99
bulpr,Bulletproof,99,99,99,99,0,10,99
cave,Carlsen Verlag,99,99,99,3,0,14,99
cacr,Cash Crash,99,99,99,99,0,5,99
cup,Change up,99,99,99,99,0,10,99
circ,Circus,99,99,99,99,0,15,99
cbb,Chlash! Boom! Bang!,99,99,99,99,0,5,99
clda,Cloud Dancer,99,99,99,99,0,10,99
cltr,Club Tropicana,99,99,99,99,0,10,99
core,Columbia Records,99,99,99,4,0,14,99
cmm,Connecting Minds Music,99,99,99,99,0,14,99
csidtads,CSI Den Taetern auf der Spur,99,99,99,99,0,5,1
csdm,Curvy Supermodel das Magazin,99,99,99,99,0,5,1
ddd,Dance Dance Dance,99,99,99,3,0,5,1
duwd,Dance until we die,99,99,99,99,0,10,99
doi,Dancing on Ice,99,99,99,99,0,5,2
daf,Daniel Kueblboeck and Friends,99,99,99,99,0,4,99
ddz,Daniel der Zauberer,99,99,99,99,0,12,99
dgpb,Das grosse Promibacken,99,99,99,99,0,5,2
dppd,Das perfekte Promidinner,99,99,99,99,0,5,1
dst,Das Supertalent,99,99,99,5,0,5,1
DC,Daniel Ceylan,1,3,11,4,1,3,99
dech,Deine Chance,99,99,99,99,0,5,3
dbdad,Der Besuch der alten Dame,99,99,99,99,0,15,99
dsdm,Der Schuh des Manitu,99,99,99,99,0,7,99
dvb,Der VIP Bus,99,99,99,99,0,5,1
digei,Die Geissens,99,99,99,99,0,5,1
dgh,Die goldene Henne,99,99,99,99,0,5,3
dgsdt,Die große Show der Traeume,99,99,99,99,0,5,3
disifi,Die singende Firma,99,99,99,99,0,5,1
dbdms,Dieter Bohlen die mega Show,99,99,99,99,0,5,1
ducs,Die Ultimative Chartshow,99,99,99,99,0,5,1
disic,Disney in Concert,99,99,99,99,0,15,99
disity,Diversity,99,99,99,99,0,10,99
DK,Daniel Kueblboeck,1,3,1,99,1,3,99
dkms,Deutsche Knochen Mark Spende,99,99,99,99,0,15,99
DN,Daniele Negroni,1,2,9,4,1,2,99
dreca,Dreamcatcher,99,99,99,99,0,10,99
drete,Dreamteam,99,99,99,99,0,10,3
DS,Daniel Schuhmacher,1,3,6,3,1,1,99
dschuca,Dschungelcamp,99,99,99,6,0,5,1
dsds,Deutschland sucht den Superstar,99,99,99,99,0,5,1
dslot,DSDS live on Tour,99,99,99,99,0,15,1
DT,Denise Tillmans,2,99,2,99,1,2,99
ddmp,Dude Musikmagazinpreis,99,99,99,99,0,15,99
ddzs,Dusch dich zum Superstar,99,99,99,99,0,13,99
eco,Echo,99,99,99,99,0,15,99
EE,Elli Erl,2,3,2,2,1,1,99
ehrl,Ehrlich,99,99,99,99,0,13,99
eftids,Ein Fruehlingstag in der Schweiz,99,99,99,99,0,6,3
eftir,Ein Fruehlingstag in Rom,99,99,99,99,0,6,3
eftiv,Ein Fruehlingstag in Venedig,99,99,99,99,0,6,3
ehtis,Ein Herbsttag in Stockholm,99,99,99,99,0,6,3
ehtiw,Ein Herbsttag in Wien,99,99,99,99,0,6,3
emble,Ensemble,99,99,99,99,0,15,99
euf,Entfesselt und frei,99,99,99,99,0,10,99
eurosc,Eurovision Song Contest,99,99,99,99,0,5,3
FA,Fady Maalouf,1,3,5,2,1,2,99
famfab,Famefabrik,99,99,99,99,0,14,99
famdu,Familienduell,99,99,99,99,0,5,1
fafoket,Fastfoodkette,99,99,99,99,0,15,99
fdvo,Feste der Volksmusik,99,99,99,99,0,5,3
festii,Festival iikenges,99,99,99,99,0,5,99
fuf,Feuer und Flamme,99,99,99,99,0,10,99
ffn,Funk und Fernsehen Nordwestdeutschland,99,99,99,99,0,11,3
filomu,First Love Music,99,99,99,99,0,14,99
flasam,Flaschensammler,99,99,99,99,0,15,99
flist,Florist,99,99,99,99,0,15,99
foboy,Fort Boyard,99,99,99,99,0,5,99
fdmdm,Frag doch mal die Maus,99,99,99,99,0,5,3
fusto,Full Stop,99,99,99,99,0,10,99
gestet,Gecastet,99,99,99,99,0,13,99
geda,Genial daneben,99,99,99,99,0,5,2
gnvs,Ghost Nachricht von Sam,99,99,99,99,0,7,99
gikurs,Gitarrenkurse,99,99,99,99,0,15,99
glgl,Global Gladiators,99,99,99,99,0,5,3
glaw,Glory Award,99,99,99,99,0,15,99
glgef,Gluecksgefuehle,99,99,99,99,0,10,99
golping,Goldener Pinguin,99,99,99,99,0,15,99
golschl,Goldschlager,99,99,99,99,0,5,99
grse,Grease,99,99,99,2,0,7,99
gdh,Grill den Henssler,99,99,99,99,0,5,1
groatt,Groove Attack,99,99,99,99,0,10,99
groattve,Groove Attack Vertrag,99,99,99,99,0,14,99
gzsz,Gute Zeiten schlechte Zeiten,99,99,99,99,0,6,1
hstud,H2U Studios,99,99,99,99,0,15,99
hat,Haft,99,99,99,99,0,15,99
hafra,Hausfrau,99,99,99,99,0,15,99
hpikc,Heldenpapa im Kruemelchaos,99,99,99,99,0,13,99
hwm,Herren Waesche Marke,99,99,99,99,0,15,99
hiuhu,Himmel und Huhn,99,99,99,99,0,12,99
hiradio,Hitradio RTL Sachsen ,99,99,99,99,0,11,1
hoa,Hoba,99,99,99,99,0,9,99
hmima,Hollywood Music in media Awards,99,99,99,99,0,15,99
huan,Human,99,99,99,99,0,10,99
iws,Immer wieder Sonntags,99,99,99,3,0,5,3
ineb,Im Nebel,99,99,99,99,0,10,99
ingo,Indigo,99,99,99,99,0,10,99
inttl,Into the light,99,99,99,99,0,10,99
jcs,Jesus Christ Superstar,99,99,99,99,0,7,99
jbo,Jimmi Blue Ochsenknecht ,1,2,99,3,1,15,99
jbk,Johannes B Kerner,99,99,99,99,0,5,99
JR,Jesse Ritch,1,2,9,3,1,3,99
JS,Juliette Schoppmann,2,3,1,3,1,2,99
jume,Just me,99,99,99,99,0,15,99
kadeo,Kampf der Orchester,99,99,99,99,0,5,3
kaon,Kay One,1,3,99,7,1,15,99
kliia,Klick im Augenblick,99,99,99,99,0,10,99
kbbb,Klubbb3,99,99,99,99,0,5,99
koln,Koeln 50667,99,99,99,99,0,5,1
kriba,Kristina Bach,99,99,99,99,0,8,99
kbtn,Kueblboeck Talknight,99,99,99,99,0,4,99
kuus,Kurz unsterblich,99,99,99,99,0,10,99
ldue,Lass dich ueberwachen die prismisa dancershow,99,99,99,99,0,5,3
LB,Lisa Bund,2,3,4,3,1,3,99
leda,Lets Dance,99,99,99,4,0,5,1
LH,Luca Haenni,1,2,9,4,1,1,99
laupo,Live ausm Pott,99,99,99,99,0,10,99
ltd,Living the Dream,99,99,99,99,0,10,99
ltdt,Living the dream Tour,99,99,99,99,0,15,99
loco,Lose Control,99,99,99,99,0,15,99
lomitmu,Lose myself in the Music,99,99,99,99,0,12,99
lomesi,Loss mer Singe,99,99,99,99,0,5,99
LT,Linda Teodosiu,2,2,5,99,1,3,99
lhudb,Luca Haenni und Band,99,99,99,99,0,15,99
luso,Luckysong,99,99,99,99,0,8,99
ludwui,Luke Die Woche und ich,99,99,99,99,0,5,2
LVDE,Laura van den Elzen,2,2,13,4,1,2,99
LW,Lisa Wohlgemuth,2,2,10,4,1,2,99
m8,eigenes Label,99,99,99,99,0,9,99
MA,Meltem Acikgoez,1,2,11,1,1,2,99
mass,Maenner sind so,99,99,99,99,0,10,99
mala,Markus Lanz,99,99,99,99,0,5,3
mcber,MCS Berlin,99,99,99,1,0,15,99
