id,name,sex,age,staffel,fans,type,typisierung
13pfeile,13 Pfeile,99,99,99,99,0,10
1773records,1773 Records,99,99,99,99,0,9
313music,313 music,99,99,99,99,0,8
7music,7 Music,99,99,99,99,0,12
AB,Ardian Bujupi,1,2,8,5,1,3
AE,Annemarie Eilfeld,2,2,6,3,1,3
AG,Antonio Gerardi,1,4,12,4,1,3
AJ,Alexander Jahnke,1,3,14,3,1,2
AK,Alexander Klaws,1,3,1,3,1,1
akustisch,Akustisch,99,99,99,99,0,10
alarmfuercobra11,Alarm fuer Cobra 11,99,99,99,99,0,6
alcatelfanpreis,Alcatel Fanpreis,99,99,99,99,0,13
annaunddieliebe,Anna und die Liebe,99,99,99,1,0,6
antenneac,Antenne AC,99,99,99,99,0,11
ardicted,Ardicted,99,99,99,99,0,10
artistadvice,Artistadvice,99,99,99,99,0,14
AS,Aneta Sablik,2,2,11,5,1,1
austriancountryaward,Austrian Country Award,99,99,99,99,0,15
AW,Alphonso Williams,1,5,14,3,1,1
barfußdurchberlin,Barfuß durch Berlin,99,99,99,99,0,10
bayerischersportpreis,Bayerischer Sportpreis,99,99,99,99,0,15
BE,Beatrice Egli,2,2,10,5,1,1
besserjetzt,Besser jetzt,99,99,99,99,0,10
bestofmusicalgala,Best of Musical Gala,99,99,99,99,0,7
bettinaundbommes,Bettina und Bommer,99,99,99,99,0,5
bewaehrungsstrafe,Bewaehrungsstrafe,99,99,99,99,0,15
bigbrother,Big Brother,99,99,99,5,0,5
bishierherundvielweiter,Bis hierher und viel weiter,99,99,99,99,0,10
bisou,Bisou,99,99,99,1,1,15
blackfeatherrecords,Black feather records,99,99,99,99,0,9
bravootto,Bravo Otto,99,99,99,99,0,15
bravothehits,Bravo the Hits,99,99,99,99,0,5
breathing,Breathing,99,99,99,99,0,10
bulletproof,Bulletproof,99,99,99,99,0,10
carlsenverlag,Carlsen Verlag,99,99,99,3,0,14
cashcrash,Cash Crash,99,99,99,99,0,5
changeup,Change up,99,99,99,99,0,10
circus,Circus,99,99,99,99,0,15
clashboombang,Chlash! Boom! Bang!,99,99,99,99,0,5
clouddancer,Cloud Dancer,99,99,99,99,0,10
clubtropicana,Club Tropicana,99,99,99,99,0,10
columbiarecords,Columbia Records,99,99,99,4,0,14
connectingmindsmusic,Connecting Minds Music,99,99,99,99,0,14
csidentaeternaufderspur,CSI Den Taetern auf der Spur,99,99,99,99,0,5
curvysupermodeldasmagazin,Curvy Supermodel das Magazin,99,99,99,99,0,5
dancedancedance,Dance Dance Dance,99,99,99,3,0,5
danceuntilwedie,Dance until we die,99,99,99,99,0,10
dancingonice,Dancing on Ice,99,99,99,99,0,5
danielandfriends,Daniel Kueblboeck and Friends,99,99,99,99,0,4
danielderzauberer,Daniel der Zauberer,99,99,99,99,0,12
dasgroßepromibacken,Das große Promibacken,99,99,99,99,0,5
dasperfektepromidinner,Das perfekte Promidinner,99,99,99,99,0,5
dassupertalent,Das Supertalent,99,99,99,5,0,5
DC,Daniel Ceylan,1,3,11,4,1,3
deinechance,Deine Chance,99,99,99,99,0,5
derbesuchderaltendame,Der Besuch der alten Dame,99,99,99,99,0,15
derschuhdesmanitu,Der Schuh des Manitu,99,99,99,99,0,7
dervipbus,Der VIP Bus,99,99,99,99,0,5
diegeissens,Die Geissens,99,99,99,99,0,5
diegoldenehenne,Die goldene Henne,99,99,99,99,0,5
diegrosseshowdertraeume,Die große Show der Traeume,99,99,99,99,0,5
diesingendefirma,Die singende Firma,99,99,99,99,0,5
dieterbohlendiemegashow,Dieter Bohlen die mega Show,99,99,99,99,0,5
dieultimativechartshow,Die Ultimative Chartshow,99,99,99,99,0,5
disneyinconcert,Disney in Concert,99,99,99,99,0,15
diversity,Diversity,99,99,99,99,0,10
DK,Daniel Kueblboeck,1,3,1,99,1,3
dkms,DKMS,99,99,99,99,0,15
DN,Daniele Negroni,1,2,9,4,1,2
dreamcatcher,Dreamcatcher,99,99,99,99,0,10
dreamteam,Dreamteam,99,99,99,99,0,10
DS,Daniel Schuhmacher,1,3,6,3,1,1
dschungelcamp,Dschungelcamp,99,99,99,6,0,5
dsds,DSDS,99,99,99,99,0,5
dsdsliveontour,DSDS live on Tour,99,99,99,99,0,15
DT,Denise Tillmans,2,99,2,99,1,2
dudemusikmagazinpreis,Dude Musikmagazinpreis,99,99,99,99,0,15
duschdichzumsuperstar,Dusch dich zum Superstar,99,99,99,99,0,13
echo,Echo,99,99,99,99,0,15
EE,Elli Erl,2,3,2,2,1,1
ehrlich,Ehrlich,99,99,99,99,0,13
einfruehlingstaginderschweiz,Ein Fruehlingstag in der Schweiz,99,99,99,99,0,6
einfruehlingstaginrom,Ein Fruehlingstag in Rom,99,99,99,99,0,6
einfruehlingstaginvenedig,Ein Fruehlingstag in Venedig,99,99,99,99,0,6
einherbsttaginstockholm,Ein Herbsttag in Stockholm,99,99,99,99,0,6
einherbsttaginwien,Ein Herbsttag in Wien,99,99,99,99,0,6
ensemble,Ensemble,99,99,99,99,0,15
entfesseltundfrei,Entfesselt und frei,99,99,99,99,0,10
eurovisionsongcontest,Eurovision Song Contest,99,99,99,99,0,5
FA,Fady Maalouf,1,3,5,2,1,2
famefabrik,Famefabrik,99,99,99,99,0,14
familienduell,Familienduell,99,99,99,99,0,5
fastfoodkette,Fastfoodkette,99,99,99,99,0,15
festedervolksmusik,Feste der Volksmusik,99,99,99,99,0,5
festivaliikenges,Festival iikenges,99,99,99,99,0,5
feuerundflamme,Feuer und Flamme,99,99,99,99,0,10
ffn,ffn,99,99,99,99,0,11
firstlovemusic,First Love Music,99,99,99,99,0,14
flaschensammler,Flaschensammler,99,99,99,99,0,15
florist,Florist,99,99,99,99,0,15
fortboyard,Fort Boyard,99,99,99,99,0,5
fragdochmaldiemaus,Frag doch mal die Maus,99,99,99,99,0,5
fullstop,Full Stop,99,99,99,99,0,10
gecastet,Gecastet,99,99,99,99,0,13
genialdaneben,Genial daneben,99,99,99,99,0,5
ghostnachrichtvonsam,Ghost Nachricht von Sam,99,99,99,99,0,7
gitarrenkurse,Gitarrenkurse,99,99,99,99,0,15
globalgladiators,Global Gladiators,99,99,99,99,0,5
gloryaward,Glory Award,99,99,99,99,0,15
gluecksgefuehle,Gluecksgefuehle,99,99,99,99,0,10
goldenerpinguin,Goldener Pinguin,99,99,99,99,0,15
goldschlager,Goldschlager,99,99,99,99,0,5
grease,Grease,99,99,99,2,0,7
grilldenhenssler,Grill den Henssler,99,99,99,99,0,5
grooveattack,Groove Attack,99,99,99,99,0,10
grooveattackvertrag,Groove Attack Vertrag,99,99,99,99,0,14
gutezeitenschlechtezeiten,Gute Zeiten schlechte Zeiten,99,99,99,99,0,6
h2ustudios,H2U Studios,99,99,99,99,0,15
haft,Haft,99,99,99,99,0,15
hausfrau,Hausfrau,99,99,99,99,0,15
heldenpapaimkruemelchaos,Heldenpapa im Kruemelchaos,99,99,99,99,0,13
herrenwaeschemarke,Herren Waesche Marke,99,99,99,99,0,15
himmelundhuhn,Himmel und Huhn,99,99,99,99,0,12
hitradiortlsachsen,Hitradio RTL Sachsen ,99,99,99,99,0,11
hoba,Hoba,99,99,99,99,0,9
hollywoodmusicinmediaawards,Hollywood Music in media Awards,99,99,99,99,0,15
human,Human,99,99,99,99,0,10
immerwiedersonntags,Immer wieder Sonntags,99,99,99,3,0,5
imnebel,Im Nebel,99,99,99,99,0,10
indigo,Indigo,99,99,99,99,0,10
intothelight,Into the light,99,99,99,99,0,10
jesuschristsuperstar,Jesus Christ Superstar,99,99,99,99,0,7
jimmiblueochsenknecht,Jimmi Blue Ochsenknecht ,1,2,99,3,1,15
johannesbkerner,Johannes B Kerner,99,99,99,99,0,5
JR,Jesse Ritch,1,2,9,3,1,3
JS,Juliette Schoppmann,2,3,1,3,1,2
justme,Just me,99,99,99,99,0,15
kampfderorchester,Kampf der Orchester,99,99,99,99,0,5
kayone,Kay One,1,3,99,7,1,15
klickimaugenblick,Klick im Augenblick,99,99,99,99,0,10
klubbb3,Klubbb3,99,99,99,99,0,5
koeln50667,Koeln 50667,99,99,99,99,0,5
kristinabach,Kristina Bach,99,99,99,99,0,8
kueblboecktalknight,Kueblboeck Talknight,99,99,99,99,0,4
kurzunsterblich,Kurz unsterblich,99,99,99,99,0,10
lassdichueberwachendieprismisadancershow,Lass dich ueberwachen die prismisa dancershow,99,99,99,99,0,5
LB,Lisa Bund,2,3,4,3,1,3
letsdance,Lets Dance,99,99,99,4,0,5
LH,Luca Haenni,1,2,9,4,1,1
liveausmpott,Live ausm Pott,99,99,99,99,0,10
livinghtedream,Living the Dream,99,99,99,99,0,10
livingthedreamtour,Living the drem Tour,99,99,99,99,0,15
losecontrol,Lose Control,99,99,99,99,0,15
losemyselfinthemusic,Lose myself in the Music,99,99,99,99,0,12
lossmersinge,Loss mer Singe,99,99,99,99,0,5
LT,Linda Teodosiu,2,2,5,99,1,3
lucahaenniundband,Luca Haenni und BAnd,99,99,99,99,0,15
luckysong,Luckysong,99,99,99,99,0,8
lukediewocheundich,Luke Die Woche und ich,99,99,99,99,0,5
LVDE,Laura van den Elzen,2,2,13,4,1,2
LW,Lisa Wohlgemuth,2,2,10,4,1,2
m8,eigenes Label,99,99,99,99,0,9
MA,Meltem Acikgoez,1,2,11,1,1,2
maennersindso,weiteres Album,99,99,99,99,0,10
markuslanz,Markus Lanz,99,99,99,99,0,5
mcsberlin,MCS Berlin,99,99,99,1,0,15
mdrum4,MDR um vier,99,99,99,99,0,5
mehrzadsartofdance,Mehrzadsartofdance,99,99,99,99,0,15
meineschlagerweltdiepartymitrossantony,Meine Schlagerwelt,99,99,99,99,0,5
meineschweizmeinemusik,Meine Schweiz meine Musik,99,99,99,99,0,5
melodia,Melodia,99,99,99,99,0,10
merrychristmas,Merry Christmas,99,99,99,99,0,10
metroboutique,Metro Boutique,99,99,99,99,0,15
MF,Menowin Froehlich,1,3,7,4,1,2
MH,Manuel Hoffmann,1,2,7,3,1,3
MLG,Mike Leon Grosch,1,4,3,2,1,2
MM,Mark Medlock,1,4,4,1,1,1
MMA,Mehrzad Marashi,1,3,7,4,1,1
movingon,Moving On,99,99,99,99,0,10
MR,Michael Rauscher,1,1,15,2,1,3
MS,Martin Stosch,1,2,4,99,1,2
MT,Michel Truog,1,2,15,2,1,2
mundwerk,Mundwerk,99,99,99,99,0,10
musicacademykoelnsued,Music Academy Koeln Sued,99,99,99,1,0,15
musical,Musical,99,99,99,99,0,7
musikfuersie,Musik fuer Sie,99,99,99,99,0,5
musiklehrerin,Musiklehrerin ,99,99,99,99,0,15
MV,Maria Voskania,2,3,14,3,1,3
MW,Marie Wegener,2,1,15,3,1,1
mynameis,My name is,99,99,99,99,0,5
mynameisluca,My name is Luca,99,99,99,99,0,10
myworld,My world,99,99,99,99,0,10
napsterfanpreis,Napsterfanpreis,99,99,99,99,0,15
negroniliveundcrazy,Negroni Live und Crazy,99,99,99,99,0,15
neonlicht,Neonlicht,99,99,99,99,0,10
nickelodeonkidschoiceawards,Nickelodeon Kids Choice Awards,99,99,99,99,0,15
ninjawarriorgermany,Ninja Warrior Germany,99,99,99,99,0,5
nothingtolose,Nothing to lose,99,99,99,99,0,10
ottokatalog,Otto Katalog,99,99,99,99,0,15
palmrecordssonymusic,Palm records somy music,99,99,99,99,0,8
PB,Philippe Buehler,1,3,2,99,1,3
PDR,Prince Damien Ritzinger,1,2,13,4,1,1
petermaffayband,Peter Maffay Band,99,99,99,99,0,15
pietrostyle,Pietrostyle,99,99,99,99,0,10
PL,Pietro Lombardi,1,2,8,6,1,1
pobo44,Pobo44,99,99,99,99,0,9
prixwalo,Prixwalo,99,99,99,99,0,15
promibigbrother,Promi Big Brother,99,99,99,5,0,5
promishoppingqueen,Promi Shopping Queen,99,99,99,99,0,5
promisunterhypnose,Promis unter Hypnose,99,99,99,99,0,5
purelebensfreude,Pure Lebensfreude,99,99,99,99,0,10
radiob2,Radiob2,99,99,99,99,0,11
radiobob,Radio Bob,99,99,99,99,0,11
radiopaloma,Radio Paloma,99,99,99,99,0,11
rainbowsend,Rainbowsend,99,99,99,99,0,10
RB,Ricardo Bielecki,1,2,10,4,1,3
recallstars,Recallstars,99,99,99,99,0,15
rennschweinrudiruessel,Rennschwein Rudi Ruessel,99,99,99,99,0,6
richardlugner,Vertrag,99,99,99,99,0,14
richtungg,Richtung G,99,99,99,99,0,10
riverboat,Show,99,99,99,99,0,5
rpr1,Rpr1,99,99,99,99,0,11
sagmirwowohnendieengel,Sag mir wo wohnen die Engel,99,99,99,99,0,10
saltonatale,Zirkus,99,99,99,99,0,15
sarahdasgroßeinterview,Sarah das große Interview,99,99,99,99,0,5
sarahpietro...,Sarah Pietro...,99,99,99,99,0,4
saturdaynightfever,Saturday Night Fever,99,99,99,99,0,7
schlagdenstar,Schlag den Star,99,99,99,99,0,5
schlagerammeer,Schlager am Meer,99,99,99,99,0,5
schlagerbereich,Schlagerbereich,99,99,99,99,0,5
schlagercountdown,Schlagercountdown,99,99,99,99,0,5
schlagereinerstadt,Schlager einer Stadt,99,99,99,99,0,5
schlagerimschnee,Schlager im Schnee,99,99,99,99,0,5
schlagerundmeer,Schlager und Meer,99,99,99,99,0,5
secretoflive,Secret of Live,99,99,99,99,0,10
senorita,Senorita,99,99,99,99,0,15
sing,Sing,99,99,99,6,0,12
SK,Sarah Kreuz,2,2,6,2,1,2
SL,Sarah Lombardi,2,2,8,6,1,2
smago,Smago,99,99,99,99,0,15
sogewollt,so gewollt,99,99,99,99,0,10
sonybmgmusicentertainment,Sony BMG Music Entertainment,99,99,99,6,0,8
SS,Severino Seeger,1,3,12,3,1,1
starrace,Star race,99,99,99,99,0,5
straight,Straight,99,99,99,99,0,10
sturmderliebe,Show,99,99,99,99,0,5
styleaward,Style Award,99,99,99,99,0,15
subsidiumev,Subsidium eV,99,99,99,99,0,15
swissmusicaward,Swiss Music Award,99,99,99,99,0,15
systemgastronomie,Systemgastronomie,99,99,99,99,0,15
tabaluga,Tabaluga,99,99,99,99,0,5
taff,Taff,99,99,99,99,0,5
takeyourchance,Take Your Chance,99,99,99,99,0,5
tanzdervampire,Tanz der Vampire,99,99,99,99,0,7
tarzan,Tarzan,99,99,99,99,0,7
tatort,Tatort,99,99,99,99,0,5
teilvonmir,Teil von mir,99,99,99,99,0,10
textilunternehmen,Textilunternehmen,99,99,99,99,0,15
TG,Thomas Godoj,1,4,5,3,1,1
thankyoutothefans,Thank you to the fans,99,99,99,99,0,10
theacoustivalbum,The acoustiv Album,99,99,99,99,0,10
thebestoflauraandmark,The Best of Laura and Mark,99,99,99,99,0,10
thedome,The Dome,99,99,99,99,0,5
therockyhorrorshow,The Rocky Horror Show,99,99,99,99,0,7
theunited,The United,99,99,99,99,0,15
thewinneris,The winner is,99,99,99,99,0,5
tigerentenclub,Tigerentenclub,99,99,99,99,0,5
TK,Thomas Katrozan,1,3,13,3,1,3
tomzilla,Tomzilla,99,99,99,99,0,9
TR,Tobias Regner,1,3,3,2,1,1
tvtotalturmspringen,TV Total Turmspringen,99,99,99,99,0,5
universalmusic,Universal Music,99,99,99,4,0,8
unteruns,Unter uns,99,99,99,99,0,6
v,V,99,99,99,99,0,10
verruecktnachfluss,Verrueckt nach Fluss,99,99,99,2,0,6
VG,Viviana Grisafi,2,2,12,4,1,2
viva,Viva,99,99,99,99,0,5
VJD,Vanessa Jean Dedmon,2,3,3,1,1,3
vocalcoach,Vocal Coach bei DSDS,99,99,99,99,0,15
voelkerballmeisterschaft,Voelkerballmannschaft,99,99,99,99,0,5
vollekanne,Volle Kanne,99,99,99,99,0,5
vomgeistderweihnacht,Vom Geist der Weihnacht,99,99,99,99,0,7
vorentscheidesc,Vorentscheid ESC,99,99,99,99,0,5
vstaerkeraus,VStaerker aus,99,99,99,99,0,15
vstaerkerausshow,VStaerker aus Show,99,99,99,99,0,4
wahrheit,Single mit Bushido,99,99,99,99,0,15
wennderhimmelessowill,Wenn der Himmel es so will,99,99,99,99,0,10
wenndiemusispielt,Wenn die Musi spielt,99,99,99,99,0,5
wennesbrennt,Wenn es brennt,99,99,99,99,0,10
wennesumunsstillwird,Wenn es um uns still wird,99,99,99,99,0,10
werwirdmillionaer,Wer wird Millionär,99,99,99,99,0,5
wettendass,Wetten dass,99,99,99,99,0,5
whenwewakeup,When We Wake Up,99,99,99,99,0,10
whenwewakeuptour,When We Wake Up Tour,99,99,99,99,0,13
wildandyoungaward,Wild And Young Award,99,99,99,99,0,13
williederweihnachtsstollen,Willie der Weihnachtsstollen,99,99,99,99,0,15
willkommenbeicarmennebel,Willkommen bei Carmen Nebel,99,99,99,99,0,5
wilsongonzalezochsenknecht,Wilson Gonzalez Ochsenknecht,1,2,99,3,1,15
wohlfuehlgarantie,Wohlfuehlgarantie,99,99,99,99,0,10
wokwm,Wok WM,99,99,99,99,0,5
worldidol,World Idol,99,99,99,99,0,5
youwantit,You want it,99,99,99,99,0,10
zdffernsehgarten,ZDF Fernsehgarten,99,99,99,4,0,6
zimmerfrei,Zimmer frei,99,99,99,99,0,5
zurueckzumir,Zurueck zu mir,99,99,99,99,0,10
zwischenwelten,Zwischen Welten,99,99,99,99,0,10
