id,name,sex,age,staffel,fans,type
13pfeile,weiteres Album,NA,NA,NA,NA,0
313music,Plattenvertrag,NA,NA,Na,NA,0
7music,Vertrag,NA,NA,NA,NA,0
AB,Ardian Bujupi,1,2,8,5,1
AE,Annemarie Eilfeld,2,2,6,3,1
AG,Antonio Gerardi,1,4,12,4,1
AJ,Alexander Jahnke,1,3,14,3,1
AK,Alexander Klaws,1,3,1,3,1
akustisch,weiteres Album,NA,NA,NA,NA,0
alarmfuercobra11,Sendung,NA,NA,NA,NA,0
alcatelfanpreis,Anderes,NA,NA,NA,NA,0
annaunddieliebe,Soap,NA,NA,NA,1,0
antenneac,Radio,NA,NA,NA,NA,0
ardicted,weiteres Album,NA,NA,NA,NA,0
artistadvice,Vertrag,NA,NA,NA,NA,0
AS,Aneta Sablik,2,2,11,5,1
austriancountryaward,Austrian Counrty Award,NA,NA,NA,NA,0
AW,Alphonso Williams,1,5,14,3,1
barfußdurchberlin,weiteres Album,NA,NA,NA,NA,0
bayerischersportpreis,Verleihung,NA,NA,NA,NA,0
BE,Beatrice Egli,2,2,10,5,1
besserjetzt,weiteres Album,NA,NA,NA,NA,0
bettinaundbommes,Show,NA,NA,NA,NA,0
bewaehrungsstrafe,Bewaehrungsstrafe,NA,NA,NA,NA,0
bigbrother,Big Brother,NA,NA,NA,5,0
bishierherundvielweiter,weiteres Album,NA,NA,NA,NA,0
bisou,Band,NA,NA,NA,1,1
blackfeatherrecords,eigene Plattenfirma,NA,NA,NA,NA,0
bravootto,Anderes,NA,NA,NA,NA,0
bravothehits,Show,NA,NA,NA,NA,0
breathing,weiteres Album,NA,NA,NA,NA,0
bulletproof,weiteres Album,NA,NA,NA,NA,0
carlsenverlag,Verlag,NA,NA,NA,3,0
cashcrash,Show,NA,NA,NA,NA,0
changeup,weiteres Album,NA,NA,NA,NA,0
circus,Anderes,NA,NA,NA,NA,0
clashboombang,Show,NA,NA,NA,NA,0
clouddancer,weiteres Album,NA,NA,NA,NA,0
clubtropicana,weiteres Album,NA,NA,NA,NA,0
columbiarecords,Musiklabel,NA,NA,NA,4,0
connectingmindsmusic,Vertrag,NA,NA,NA,NA,0
csidentaeternaufderspur,Show,NA,NA,NA,NA,0
curvysupermodeldasmagazin,Show,NA,NA,NA,NA,0
