from,to,relationship,time,,,
AK,DSDS,1,2003,,,
AK,Sony BMG Music Entertainment,5,2003,,,
AK,World Idol,4,2003,,,
AK,Musical,5,2006,,,
AK,Anna und die Liebe,8,2008,,,
AK,Goldschlager – Die Hits der Stars,6,2013,,,
AK,Let's Dance,1,2014,,,
JS,DSDS,2,2003,,,
JS,Sony BMG Music Entertainment,5,2003,,,
JS,Das Supertalent,4,2012,,,
JS,Music Academy Köln Süd,7,2013,,,
DK,DSDS,3,2003,,,
DK,Dschungelcamp,4,2004,,,
DK,Daniel der Zauberer,8,2004,,,
DK,Big Brother,4,2005,,,
DK,Das perfekte Promidinner,4,2010,,,
DK,Küblböck Talk Night,6,2010,,,
DK,Let's Dance,4,2014,,,
DK,Verrückt nach Fluss,8,2016,,,
